Location_ID,probability,Location,Latitude,Longitude
1,0,Albany,-35.02478219999989,117.88360800000228
2,0,Albury,-36.08047659999824,146.91627950000102
3,0,AliceSprings,-23.698388400000038,133.8812884999954
4,0,BadgerysCreek,-33.90421690000112,150.72028220000584
5,0,Ballarat,-37.5622632000011,143.8607215000049
